id,name,category,district,ticket_price,rating,visitor_count,description
1,坪坝营景区,自然风光,坪坝营镇,60.00,3.5,21213,国家4A级景区，北纬30°原始森林群落，森林覆盖率96%，夏季均温19℃，被誉为鄂西林海天然氧吧。
2,唐崖河·黄金洞景区,地质奇观,黄金洞乡,120.00,4.3,399823,国家4A级景区，1.5亿年七层溶洞大厦，世界最大地下钙化池，配套地心漂流和茶海羌寨。
3,唐崖土司城遗址,世界文化遗产,唐崖镇,150.00,3.8,367562,2015年入选世界文化遗产名录，元至正十五年起覃氏土司世袭381年，保存最完整的土司城址。
4,忠堡大捷纪念园,红色旅游,忠堡镇,80.00,4.3,60889,国家3A级景区，纪念1935年贺龙任弼时率领红二六军团取得忠堡大捷，全国爱国主义教育基地。
5,龙潭司村,红色旅游,清坪镇,40.00,3.9,239621,恩施地区第一个地级党组织诞生地，贺龙元帅战斗过的革命老区，谱写了五个第一的辉煌篇章。
6,马倌屯村,乡村旅游,忠堡镇,100.00,4.4,94720,湖北旅游名村、中国少数民族特色村寨，集四季采摘、农耕体验、萌宠乐园、露营基地于一体。
7,二仙岩湿地保护区,自然风光,活龙坪乡,50.00,4.2,438107,省级湿地自然保护区，地球同纬度罕见的泥炭藓沼泽湿地，被誉为物种基因库，拥有1606种植物。
8,川洞田园,自然风光,曲江镇,50.00,4.9,133499,巨型天然穿洞景观，紫薇长龙花海，栈道依山而建，集洞穴探秘与田园观光于一体。
9,绿沃园生态农庄,乡村旅游,高乐山镇,100.00,3.9,73090,占地3000余亩的生态农庄，种植近20种鲜花四季可赏，配套农家乐、儿童游乐场、婚纱摄影基地。
10,严家祠堂,历史文化,唐崖镇,20.00,4.2,440626,距唐崖土司城遗址10公里，砖木结构四合院，雕梁画栋的马头墙建筑，土家族宗祠文化代表。
11,麻柳溪羌寨,民俗文化,黄金洞乡,60.00,4.6,70774,黄金洞景区内的羌族村寨，茶园环绕，吊脚楼依山而建，被誉为中国中部最后的香格里拉。
12,咸丰县民族博物馆,文博场馆,高乐山镇,20.00,4.3,488610,展示土家族苗族历史文化的综合性博物馆，涵盖摆手舞、南剧、土家织锦等非物质文化遗产。
13,曲江茶海,乡村旅游,曲江镇,0.00,4.8,348549,万亩生态茶园，盛产富硒白茶和藤茶，可体验采茶制茶工艺，品土家油茶汤。
14,小南海地震遗址,地质奇观,大路坝区,0.00,4.3,135009,1856年地震形成的堰塞湖，保存完好的地震遗址景观，湖水清澈四周青山环抱。
15,朝阳画廊,自然风光,朝阳寺镇,150.00,4.1,356479,唐崖河下游峡谷风光带，乘船游览两岸青山翠竹，土家吊脚楼点缀其间，摄影写生胜地。
